image_name,nutrient_name,amount,unit
4.jpeg,betaine,75.6,mg
4.jpeg,ca,287.2,mg
4.jpeg,beta,0.76,mg
4.jpeg,cholesterol,20.0,mg
4.jpeg,free,9.78,mg
4.jpeg,from glycerophosphocholine,4.56,mg
4.jpeg,from phosphocholine,0.24,mg
4.jpeg,from phosphotidyl choline,1.74,mg
4.jpeg,total,29.4,µg
4.jpeg,cu,0.29,mg
4.jpeg,total dietary,6.3,g
4.jpeg,fructose,4.87,g
4.jpeg,galactose,0.01,g
4.jpeg,glucose,4.13,g
4.jpeg,i,508.0,µg
4.jpeg,fe,3.03,mg
4.jpeg,lactose,0.04,g
4.jpeg,lutein + zeaxanthin,285.0,µg
4.jpeg,lycopene,19050.0,µg
4.jpeg,mg,88.47,mg
4.jpeg,maltose,0.62,g
4.jpeg,mn,1.52,mg
4.jpeg,niacin,2.67,mg
4.jpeg,pantothenic acid,0.47,mg
4.jpeg,p,400.3,mg
4.jpeg,k,856.6,mg
4.jpeg,retinol,63.2,µg
4.jpeg,riboflavin,0.19,mg
4.jpeg,se,21.14,µg
4.jpeg,na,5419.3,mg
4.jpeg,sucrose,1.29,g
4.jpeg,thiamin,0.24,mg
4.jpeg,delta,0.11,mg
4.jpeg,gamma,0.22,mg
4.jpeg,alpha,0.25,mg
4.jpeg,total fat (nlea),10.74,g
4.jpeg,rae,111.2,µg
4.jpeg,vitamin b-12,0.21,µg
4.jpeg,vitamin b-6,0.14,mg
4.jpeg,vitamin e (alpha-tocopherol),1.84,mg
4.jpeg,vitamin k (menaquinone-4),1.86,µg
4.jpeg,vitamin k (phylloquinone),0.48,µg
4.jpeg,zn,2.85,mg
5.jpg,biotin,0.06,µg
5.jpg,ca,439.4,mg
5.jpg,free,2.4,mg
5.jpg,from phosphocholine,0.18,mg
5.jpg,from phosphotidyl choline,0.36,mg
5.jpg,total,3.0,µg
5.jpg,cis-beta-carotene,14.7,µg
5.jpg,cis-lutein/zeaxanthin,3.6,µg
5.jpg,cis-lycopene,166.2,µg
5.jpg,cu,0.37,mg
5.jpg,total dietary,5.23,g
5.jpg,fructose,9.14,g
5.jpg,glucose,9.66,g
5.jpg,fe,8.19,mg
5.jpg,lactose,0.12,g
5.jpg,lutein,28.5,µg
5.jpg,lycopene,1230.0,µg
5.jpg,mg,92.1,mg
5.jpg,maltose,3.12,g
5.jpg,mn,1.37,mg
5.jpg,niacin,9.76,mg
5.jpg,pantothenic acid,1.1,mg
5.jpg,p,615.85,mg
5.jpg,k,1152.5,mg
5.jpg,riboflavin,0.5,mg
5.jpg,se,46.4,µg
5.jpg,na,2504.3,mg
5.jpg,sucrose,0.6,g
5.jpg,thiamin,1.04,mg
5.jpg,beta,0.01,mg
5.jpg,delta,0.04,mg
5.jpg,gamma,0.21,mg
5.jpg,total fat (nlea),12.21,g
5.jpg,trans-beta-carotene,117.9,µg
5.jpg,vitamin b-6,0.2,mg
5.jpg,total ascorbic acid,9.81,mg
5.jpg,vitamin e (alpha-tocopherol),0.29,mg
5.jpg,vitamin k (phylloquinone),1.26,µg
5.jpg,zeaxanthin,2.7,µg
5.jpg,zn,4.48,mg
6.jpg,betaine,0.05,mg
