image_name,component_name,matched_item,nutrient_name,amount,unit
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",ca,287.2,mg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",beta,585.0,µg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",cu,0.29,mg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",total dietary,6.3,g
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",fructose,4.87,g
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",glucose,4.13,g
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",fe,3.03,mg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",lutein + zeaxanthin,285.0,µg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",lycopene,19050.0,µg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",mg,88.47,mg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",mn,1.52,mg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",p,400.3,mg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",k,856.6,mg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",na,5419.3,mg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",sucrose,1.29,g
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",total fat (nlea),10.74,g
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",rae,111.2,µg
4.jpeg,Pasta Salad,"sauce, pasta, spaghetti/marinara, ready-to-serve",zn,2.85,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",betaine,75.6,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",ca,97.8,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",free,9.78,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",from glycerophosphocholine,4.56,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",from phosphocholine,0.24,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",from phosphotidyl choline,1.74,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",total,29.4,µg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",cu,0.14,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",total dietary,3.6,g
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",fructose,1.34,g
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",glucose,0.66,g
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",fe,1.54,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",lactose,0.04,g
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",mg,45.96,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",maltose,0.62,g
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",mn,1.31,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",niacin,2.67,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",pantothenic acid,0.47,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",p,127.2,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",k,150.0,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",riboflavin,0.19,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",se,21.14,µg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",na,270.0,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",sucrose,0.02,g
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",thiamin,0.24,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",beta,0.76,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",delta,0.11,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",gamma,0.22,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",alpha,0.25,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",total fat (nlea),1.79,g
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",vitamin b-6,0.14,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",vitamin e (alpha-tocopherol),1.84,mg
4.jpeg,Brown Bread,"bread, whole-wheat, commercially prepared",zn,1.06,mg
4.jpeg,Butter,"salt, table, iodized",ca,5.0,mg
4.jpeg,Butter,"salt, table, iodized",i,508.0,µg
4.jpeg,Butter,"salt, table, iodized",mn,0.0,mg
4.jpeg,Butter,"salt, table, iodized",k,0.2,mg
4.jpeg,Butter,"salt, table, iodized",na,3870.0,mg
4.jpeg,Spread Cheese,"cheese, cheddar",ca,141.4,mg
4.jpeg,Spread Cheese,"cheese, cheddar",cholesterol,20.0,mg
4.jpeg,Spread Cheese,"cheese, cheddar",cu,0.01,mg
4.jpeg,Spread Cheese,"cheese, cheddar",total,4.2,µg
4.jpeg,Spread Cheese,"cheese, cheddar",galactose,0.01,g
4.jpeg,Spread Cheese,"cheese, cheddar",glucose,0.02,g
4.jpeg,Spread Cheese,"cheese, cheddar",fe,0.03,mg
4.jpeg,Spread Cheese,"cheese, cheddar",lactose,0.03,g
4.jpeg,Spread Cheese,"cheese, cheddar",mg,5.36,mg
4.jpeg,Spread Cheese,"cheese, cheddar",mn,0.01,mg
4.jpeg,Spread Cheese,"cheese, cheddar",niacin,0.01,mg
4.jpeg,Spread Cheese,"cheese, cheddar",pantothenic acid,0.08,mg
4.jpeg,Spread Cheese,"cheese, cheddar",p,91.6,mg
4.jpeg,Spread Cheese,"cheese, cheddar",k,15.4,mg
4.jpeg,Spread Cheese,"cheese, cheddar",retinol,63.2,µg
4.jpeg,Spread Cheese,"cheese, cheddar",riboflavin,0.09,mg
4.jpeg,Spread Cheese,"cheese, cheddar",se,5.66,µg
4.jpeg,Spread Cheese,"cheese, cheddar",na,130.8,mg
4.jpeg,Spread Cheese,"cheese, cheddar",thiamin,0.01,mg
4.jpeg,Spread Cheese,"cheese, cheddar",gamma,0.01,mg
4.jpeg,Spread Cheese,"cheese, cheddar",total fat (nlea),5.8,g
4.jpeg,Spread Cheese,"cheese, cheddar",rae,63.2,µg
4.jpeg,Spread Cheese,"cheese, cheddar",vitamin b-12,0.21,µg
4.jpeg,Spread Cheese,"cheese, cheddar",vitamin b-6,0.01,mg
4.jpeg,Spread Cheese,"cheese, cheddar",vitamin e (alpha-tocopherol),0.15,mg
4.jpeg,Spread Cheese,"cheese, cheddar",vitamin k (menaquinone-4),1.86,µg
4.jpeg,Spread Cheese,"cheese, cheddar",vitamin k (phylloquinone),0.48,µg
4.jpeg,Spread Cheese,"cheese, cheddar",zn,0.73,mg
5.jpg,Bread,"bread, white, commercially prepared",ca,439.4,mg
5.jpg,Bread,"bread, white, commercially prepared",cu,0.37,mg
5.jpg,Bread,"bread, white, commercially prepared",total dietary,5.23,g
5.jpg,Bread,"bread, white, commercially prepared",fructose,9.14,g
5.jpg,Bread,"bread, white, commercially prepared",glucose,9.66,g
5.jpg,Bread,"bread, white, commercially prepared",fe,8.19,mg
5.jpg,Bread,"bread, white, commercially prepared",lactose,0.12,g
5.jpg,Bread,"bread, white, commercially prepared",mg,92.1,mg
5.jpg,Bread,"bread, white, commercially prepared",maltose,3.12,g
5.jpg,Bread,"bread, white, commercially prepared",mn,1.37,mg
5.jpg,Bread,"bread, white, commercially prepared",niacin,9.76,mg
5.jpg,Bread,"bread, white, commercially prepared",pantothenic acid,1.1,mg
5.jpg,Bread,"bread, white, commercially prepared",p,615.85,mg
5.jpg,Bread,"bread, white, commercially prepared",k,1152.5,mg
5.jpg,Bread,"bread, white, commercially prepared",riboflavin,0.5,mg
5.jpg,Bread,"bread, white, commercially prepared",se,46.4,µg
5.jpg,Bread,"bread, white, commercially prepared",na,2504.3,mg
5.jpg,Bread,"bread, white, commercially prepared",thiamin,1.04,mg
5.jpg,Bread,"bread, white, commercially prepared",total fat (nlea),12.21,g
5.jpg,Bread,"bread, white, commercially prepared",vitamin b-6,0.2,mg
5.jpg,Bread,"bread, white, commercially prepared",zn,4.48,mg
5.jpg,Ham,"ham, sliced, restaurant",ca,9.0,mg
5.jpg,Ham,"ham, sliced, restaurant",cu,0.06,mg
5.jpg,Ham,"ham, sliced, restaurant",glucose,2.7,g
5.jpg,Ham,"ham, sliced, restaurant",fe,1.29,mg
5.jpg,Ham,"ham, sliced, restaurant",mg,30.45,mg
5.jpg,Ham,"ham, sliced, restaurant",mn,0.02,mg
5.jpg,Ham,"ham, sliced, restaurant",p,369.0,mg
5.jpg,Ham,"ham, sliced, restaurant",k,726.0,mg
5.jpg,Ham,"ham, sliced, restaurant",na,1545.0,mg
5.jpg,Ham,"ham, sliced, restaurant",sucrose,0.6,g
5.jpg,Ham,"ham, sliced, restaurant",total fat (nlea),5.31,g
5.jpg,Ham,"ham, sliced, restaurant",zn,2.64,mg
5.jpg,Grapes,"grapes, red, seedless, raw",biotin,0.06,µg
5.jpg,Grapes,"grapes, red, seedless, raw",ca,5.1,mg
5.jpg,Grapes,"grapes, red, seedless, raw",cu,0.04,mg
5.jpg,Grapes,"grapes, red, seedless, raw",fructose,4.58,g
5.jpg,Grapes,"grapes, red, seedless, raw",glucose,4.08,g
5.jpg,Grapes,"grapes, red, seedless, raw",fe,0.08,mg
5.jpg,Grapes,"grapes, red, seedless, raw",mg,4.28,mg
5.jpg,Grapes,"grapes, red, seedless, raw",mn,0.05,mg
5.jpg,Grapes,"grapes, red, seedless, raw",p,12.45,mg
5.jpg,Grapes,"grapes, red, seedless, raw",k,114.5,mg
5.jpg,Grapes,"grapes, red, seedless, raw",na,3.5,mg
5.jpg,Grapes,"grapes, red, seedless, raw",total ascorbic acid,9.81,mg
5.jpg,Grapes,"grapes, red, seedless, raw",zn,0.02,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",ca,3.3,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",free,2.4,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",from phosphocholine,0.18,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",from phosphotidyl choline,0.36,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",total,3.0,µg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",cis-beta-carotene,14.7,µg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",cis-lutein/zeaxanthin,3.6,µg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",cis-lycopene,166.2,µg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",cu,0.02,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",total dietary,0.63,g
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",fe,0.1,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",lutein,28.5,µg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",lycopene,1230.0,µg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",mg,3.57,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",mn,0.04,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",niacin,0.24,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",p,8.4,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",k,78.0,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",riboflavin,0.02,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",na,1.8,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",thiamin,0.02,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",beta,0.01,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",delta,0.04,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",gamma,0.21,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",trans-beta-carotene,117.9,µg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",vitamin b-6,0.02,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",total ascorbic acid,8.16,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",vitamin e (alpha-tocopherol),0.29,mg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",vitamin k (phylloquinone),1.26,µg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",zeaxanthin,2.7,µg
5.jpg,Cherry tomatoes,"tomatoes, grape, raw",zn,0.06,mg
6.jpg,Bread,"bread, white, commercially prepared",ca,657.8,mg
6.jpg,Bread,"bread, white, commercially prepared",cu,0.16,mg
6.jpg,Bread,"bread, white, commercially prepared",total dietary,2.3,g
6.jpg,Bread,"bread, white, commercially prepared",fructose,2.28,g
6.jpg,Bread,"bread, white, commercially prepared",glucose,1.98,g
6.jpg,Bread,"bread, white, commercially prepared",fe,3.68,mg
6.jpg,Bread,"bread, white, commercially prepared",lactose,0.06,g
6.jpg,Bread,"bread, white, commercially prepared",mg,49.69,mg
6.jpg,Bread,"bread, white, commercially prepared",maltose,1.56,g
6.jpg,Bread,"bread, white, commercially prepared",mn,0.65,mg
6.jpg,Bread,"bread, white, commercially prepared",niacin,4.79,mg
6.jpg,Bread,"bread, white, commercially prepared",pantothenic acid,0.72,mg
6.jpg,Bread,"bread, white, commercially prepared",p,473.8,mg
